ZONA PORTUARIA               ,SOCIEDAD PORTUARIA,TIPO DE CARGA,EXPORTACION,IMPORTACIÓN,TRANSBORDO,TRANSITO INTERNACIONAL,FLUVIAL,CABOTAJE,AÑO VIGENCIA,MES VIGENCIA
G. MORROSQUILLO,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"17,270",,,,,"2,018",8
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,CONTENEDORES,0,"24,552",307,,,,"2,019",3
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,CONTENEDORES,"59,183","105,870","317,727",,,,"2,019",6
CARTAGENA,OILTANKING COLOMBIA SA,GRANEL LIQUIDO,,"17,696",,,,,"2,018",10
CARTAGENA,NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A,GRANEL LIQUIDO,,,,,,"2,437","2,020",10
BARRANQUILLA,VOPAK COLOMBIA S.A.,GRANEL LIQUIDO,,"10,074",,,,,"2,018",8
GUAJIRA,PUERTO BRISA S.A.,CARBON AL GRANEL,"76,608",,,,,,"2,020",7
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"116,949",,,,,"2,020",6
TURBO,C.I. UNIÓN DE BANANEROS DE URABA - UNIBAN,CONTENEDORES,"11,738","3,607",,,,"21,576","2,020",5
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,CARBON AL GRANEL,"60,024",,,,,,"2,020",9
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,CARBON AL GRANEL,"212,535",,,,,,"2,019",7
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"38,769",,,,"6,504","2,018",8
BARRANCABERMEJA,ECOPETROL S.A.,GRANEL LIQUIDO,,,,,"79,588",,"2,020",5
CARTAGENA,PUERTO BUENAVISTA S.A,GENERAL,"6,380",,,,,537,"2,019",2
CARTAGENA,PUERTO BUENAVISTA S.A,GENERAL,"10,717",,,,,"1,109","2,019",6
BARRANQUILLA,SOCIEDAD PORTUARIA RIVERPORT S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"64,530",,,,,"2,020",4
CIENAGA,AMERICAN PORT COMPANY INC,CARBON AL GRANEL,"2,656,474",,,,,,"2,019",8
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,CARBON AL GRANEL,"55,005",,,,,,"2,020",9
BUENAVENTURA,SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.,CONTENEDORES,"38,172","102,890","48,706",,,,"2,019",1
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GRANEL SOLIDO DIFER. DE CARBON,,"203,594",,,,"4,400","2,019",3
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,CONTENEDORES,,223,,,,,"2,020",7
CARTAGENA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,CONTENEDORES,"13,722","13,033","3,456","19,368",,,"2,020",8
BARRANCABERMEJA,ECOPETROL S.A.,GRANEL LIQUIDO,,,,,"75,169",,"2,018",8
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"56,455",,,,,"2,019",3
CARTAGENA,ZONA FRANCA ARGOS S.A.S.,GRANEL SOLIDO DIFER. DE CARBON,"49,351","48,500",,,,,"2,019",11
CARTAGENA,ALGRANEL S.A.,GRANEL LIQUIDO,"2,725","11,874",,,,,"2,020",9
BARRANQUILLA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GENERAL,,"28,838",,,,,"2,020",4
BARRANQUILLA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GRANEL LIQUIDO,,"12,557",,,,"10,185","2,019",2
BARRANQUILLA,VOPAK COLOMBIA S.A.,GRANEL LIQUIDO,"31,277","10,942",,,,,"2,018",4
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,GENERAL,,102,406,,,,"2,019",10
CARTAGENA,ALGRANEL S.A.,GRANEL LIQUIDO,"1,261","4,154",,,,,"2,019",12
Z.P. RIO MAGDALENA,PUERTO PIMSA S.A.,GENERAL,,378,,,,"33,837","2,020",4
BARRANCABERMEJA,ECOPETROL S.A.,GRANEL LIQUIDO,,,,,"35,152",,"2,019",1
BUENAVENTURA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"62,006",,,,,"2,020",12
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,GRANEL SOLIDO DIFER. DE CARBON,132,,,,,,"2,019",2
CARTAGENA,NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A,GRANEL LIQUIDO,,,,,,"7,316","2,018",7
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,GENERAL,493,"16,430","4,100",,,20,"2,019",3
TUMACO,SOCIEDAD PORTUARIA REGIONAL TUMACO PACIFIC PORT S.A,GRANEL LIQUIDO,,,,,,"2,978","2,019",11
BARRANQUILLA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GENERAL,,"19,185",,,,,"2,019",12
CARTAGENA,NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A,GRANEL LIQUIDO,,,,,,"7,236","2,019",8
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,GRANEL LIQUIDO,"85,919","52,558",,,,,"2,019",9
BUENAVENTURA,GRUPO PORTUARIO S.A,CARBON AL GRANEL,"70,365",,,,,,"2,018",7
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,CARBON AL GRANEL,"12,406",,,,,,"2,019",4
G. MORROSQUILLO,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"33,600",,,,,"2,020",3
CARTAGENA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"19,773",,,,,"2,020",6
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,CARBON AL GRANEL,,"26,001",,,,,"2,018",5
BARRANQUILLA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,CARBON AL GRANEL,"71,903",,,,,,"2,019",10
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,CONTENEDORES,,,,,,"4,898","2,018",10
CARTAGENA,ZONA FRANCA ARGOS S.A.S.,GRANEL SOLIDO DIFER. DE CARBON,"94,171",,,,,,"2,018",7
CARTAGENA,PUERTO BUENAVISTA S.A,GRANEL SOLIDO DIFER. DE CARBON,,"29,501",,,,,"2,019",3
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,CONTENEDORES,"142,452","222,403","385,190",,,,"2,019",5
CIENAGA,SOCIEDAD PORTUARIA PUERTO NUEVO S.A.,CARBON AL GRANEL,"918,434",,,,,,"2,019",4
CARTAGENA,NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A,GRANEL LIQUIDO,,,,,,"7,167","2,018",8
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,GENERAL,,95,,,,"3,689","2,019",6
