ZONA PORTUARIA               ,SOCIEDAD PORTUARIA,TIPO DE CARGA,EXPORTACION,IMPORTACIÓN,TRANSBORDO,TRANSITO INTERNACIONAL,FLUVIAL,CABOTAJE,AÑO VIGENCIA,MES VIGENCIA
CARTAGENA,NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A,GRANEL LIQUIDO,,,,,,"7,045","2,019",9
BARRANCABERMEJA,SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.,GRANEL LIQUIDO,,,,,"68,270",,"2,019",2
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,GENERAL,38,213,,,,,"2,020",11
TUMACO,ROMERO Y BURGOS & CIA S.EN C.,GRANEL LIQUIDO,,,,,135,,"2,018",4
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,CONTENEDORES,"11,094","55,369",,,,,"2,018",2
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,CONTENEDORES,79,40,,,,,"2,020",5
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,CONTENEDORES,"52,290","90,365","332,120",,,,"2,018",4
CARTAGENA,VOPAK COLOMBIA S.A.,GRANEL LIQUIDO,,"4,701",,,,,"2,018",7
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,CONTENEDORES,201,915,,,,"3,611","2,020",4
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,CONTENEDORES,,26,,,,,"2,019",1
TURBO,C.I. UNIÓN DE BANANEROS DE URABA - UNIBAN,CONTENEDORES,"10,177","4,096",,,,"28,704","2,020",7
BUENAVENTURA,GRUPO PORTUARIO S.A,GRANEL SOLIDO DIFER. DE CARBON,,"44,790",,,,,"2,019",4
CARTAGENA,SOCIEDAD PORTUARIA OLEFINAS Y DERIVADOS S.A.,GRANEL LIQUIDO,,"74,710",,,,,"2,018",12
TURBO,C.I. UNIÓN DE BANANEROS DE URABA - UNIBAN,CONTENEDORES,"54,770","13,831",,,,,"2,019",3
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,CONTENEDORES,"56,875","101,882","256,109",,,,"2,018",11
GUAJIRA,CERREJON ZONA NORTE S.A.,GRANEL LIQUIDO,,"23,191",,,,,"2,019",12
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,GRANEL LIQUIDO,"111,320",,,,,,"2,019",10
BARRANQUILLA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"3,548",,,,,"2,018",4
TUMACO,CENIT TRANSPORTE Y LOGÍSTICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,"38,023",,,,,,"2,018",4
BUENAVENTURA,SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.,CONTENEDORES,"63,557","117,731","73,937",,,,"2,018",2
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GRANEL LIQUIDO,,"6,614",,,,,"2,019",10
BUENAVENTURA,SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.,CONTENEDORES,"50,988","108,942","67,926",,,,"2,018",6
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,GENERAL,,"31,216",,,,,"2,020",7
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GRANEL SOLIDO DIFER. DE CARBON,,"21,530",,,,,"2,019",2
TURBO,PORTUARIA PUNTA DE VACA S.A.,GRANEL LIQUIDO,,,,,,708,"2,020",6
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,GENERAL,,"13,355",,,,,"2,019",4
CARTAGENA,PUERTOS DEL CARIBE SOCIEDAD PORTUARIA S.A.,GRANEL LIQUIDO,,"2,242",,,,,"2,020",5
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"38,210",,,,,"2,020",10
BARRANQUILLA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GENERAL,"6,821","53,523",,,,"6,000","2,018",2
CARTAGENA,ZONA FRANCA ARGOS S.A.S.,GRANEL SOLIDO DIFER. DE CARBON,"82,394",,,,,,"2,019",2
CIENAGA,SOCIEDAD PORTUARIA PUERTO NUEVO S.A.,CARBON AL GRANEL,"1,406,797",,,,,,"2,018",1
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,CONTENEDORES,,14,,,,,"2,019",1
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,CONTENEDORES,"124,480","164,728","1,215,628",,,"56,608","2,020",5
BARRANCABERMEJA,ECOPETROL S.A.,GRANEL LIQUIDO,,,,,"76,626",,"2,018",7
TUMACO,CENIT TRANSPORTE Y LOGÍSTICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,"48,554",,,,,,"2,018",12
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,GENERAL,,39,,,,"3,661","2,020",6
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,GENERAL,"1,097","10,831",,,,,"2,019",6
TUMACO,CENIT TRANSPORTE Y LOGÍSTICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,"50,427",,,,,,"2,019",12
BUENAVENTURA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"56,677",,,,,"2,019",1
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,GENERAL,32,39,4,,,,"2,019",8
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,CONTENEDORES,"66,020","181,715",,,,540,"2,019",8
G. MORROSQUILLO,OLEODUCTO CENTRAL SA,GRANEL LIQUIDO,"1,693,794",,,,,,"2,020",8
BARRANQUILLA,ATUNAMAR LIMITADA,GENERAL,,,,,,"4,177","2,018",9
BUENAVENTURA,SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.,CONTENEDORES,"77,564","149,433","107,287",,,,"2,018",1
CARTAGENA,PUERTO BUENAVISTA S.A,GRANEL SOLIDO DIFER. DE CARBON,,"25,831",,,,,"2,019",10
BARRANQUILLA,SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.,GRANEL LIQUIDO,,"5,521",,,,,"2,018",5
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GENERAL,,"67,683",,,,,"2,018",8
SANTA MARTA,CENIT TRANSPORTE Y LOGÍSTICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,,"343,756",,,,"51,526","2,018",10
BARRANCABERMEJA,SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.,GRANEL LIQUIDO,,,,,"117,059",,"2,019",3
GUAJIRA,PUERTO BRISA S.A.,CARBON AL GRANEL,"64,791",,,,,,"2,018",7
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,GENERAL,10,"27,661",,,,553,"2,020",9
CARTAGENA,ALGRANEL S.A.,GRANEL LIQUIDO,"2,737","9,190",,,,,"2,020",8
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,GENERAL,73,101,43,,,,"2,018",10
CIENAGA,AMERICAN PORT COMPANY INC,CARBON AL GRANEL,"2,519,886",,,,,,"2,019",10
TUMACO,ROMERO Y BURGOS & CIA S.EN C.,GRANEL LIQUIDO,,,,,0,,"2,020",11
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GRANEL SOLIDO DIFER. DE CARBON,,"169,157",,,,,"2,018",4
BUENAVENTURA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"79,277",,,,,"2,018",4
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GRANEL SOLIDO DIFER. DE CARBON,,"201,329",,,,,"2,020",2
BARRANCABERMEJA,SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.,GRANEL LIQUIDO,,,,,"65,786",,"2,019",12
CARTAGENA,OILTANKING COLOMBIA SA,GRANEL LIQUIDO,,"30,060",,,,,"2,019",6
TUMACO,CENIT TRANSPORTE Y LOGÍSTICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,"50,413",,,,,,"2,018",9
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,GENERAL,,"8,566",,,,,"2,018",10
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GRANEL SOLIDO DIFER. DE CARBON,,"170,804",,,,,"2,018",7
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,GENERAL,53,"65,783",,,,,"2,018",5
BARRANQUILLA,SOCIEDAD PORTUARIA RIVERPORT S.A.,CARBON AL GRANEL,"52,529",,,,,,"2,020",2
SANTA MARTA,CENIT TRANSPORTE Y LOGÍSTICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,,"155,210",,,,"33,626","2,020",4
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GRANEL LIQUIDO,"35,187","17,267",,,,,"2,018",10
SAN ANDRES,NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A,GRANEL LIQUIDO,,,,,,"7,248","2,019",1
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GENERAL,"2,737","10,617","2,846",,,,"2,019",12
CARTAGENA,SOCIEDAD PORTUARIA BAVARIA S.A,GRANEL SOLIDO DIFER. DE CARBON,"5,500","55,799",,,,,"2,020",8
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,GENERAL,57,15,118,,,,"2,020",7
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,GENERAL,180,"11,928",,,,"1,648","2,018",9
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,CONTENEDORES,"119,719","162,081","1,082,938",,,,"2,018",6
CARTAGENA,SOCIEDAD PORTUARIA DEL DIQUE S.A.,GRANEL LIQUIDO,,"3,934",,,,"30,935","2,018",6
CARTAGENA,SOCIEDAD PORTUARIA DEXTON S.A.,GRANEL LIQUIDO,"29,248","9,161",,,,,"2,018",12
SANTA MARTA,CENIT TRANSPORTE Y LOGÍSTICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,,"294,543",,,,"143,943","2,018",3
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,GENERAL,21,"28,127",,,,0,"2,019",11
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,GENERAL,954,"16,478",622,,,810,"2,019",9
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,CONTENEDORES,,28,,,,,"2,018",6
BARRANCABERMEJA,SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.,GRANEL LIQUIDO,,,,,"76,117",,"2,019",4
CIENAGA,SOCIEDAD PORTUARIA PUERTO NUEVO S.A.,CARBON AL GRANEL,"1,073,715",,,,,,"2,020",1
CARTAGENA,SOCIEDAD PORTUARIA EL CAYAO S.A. E.S.P.,GRANEL LIQUIDO,,"12,991",,,,,"2,019",8
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GENERAL,47,"4,590",36,,,,"2,020",12
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,CARBON AL GRANEL,"93,904",,,,,,"2,020",8
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"55,050",,,,,"2,018",10
BARRANQUILLA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GENERAL,,"15,083",,,,,"2,018",5
GUAJIRA,PUERTO BRISA S.A.,CARBON AL GRANEL,"81,107",,,,,,"2,020",10
CARTAGENA,ALGRANEL S.A.,GRANEL LIQUIDO,"2,250","1,093",,,,,"2,020",5
GUAJIRA,CERREJON ZONA NORTE S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"6,526",,,,,"2,018",8
GUAJIRA,SOCIEDAD PORTUARIA DE LA PENINSULA S.A.,GENERAL,,638,,,,,"2,019",1
G. MORROSQUILLO,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,CARBON AL GRANEL,"11,326",,,,,,"2,018",7
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,GRANEL LIQUIDO,"189,711","30,924",,,,,"2,018",10
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,GENERAL,"5,039",75,,,,,"2,020",5
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,GENERAL,,"17,571",,,,,"2,020",1
BARRANCABERMEJA,ECOPETROL S.A.,GRANEL LIQUIDO,,,,,"76,549",,"2,020",8
CARTAGENA,SOCIEDAD PORTUARIA DEXTON S.A.,GRANEL LIQUIDO,"3,337","10,350",,,,,"2,019",8
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,CONTENEDORES,,,218,,,,"2,019",4
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,GENERAL,,267,,,,,"2,019",1
BARRANQUILLA,SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.,GRANEL LIQUIDO,"3,567","13,990",,,,,"2,018",12
GUAJIRA,CERREJON ZONA NORTE S.A.,CARBON AL GRANEL,"1,299,850",,,,,,"2,020",4
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,CARBON AL GRANEL,"15,767",,,,,,"2,019",6
CARTAGENA,PUERTO BUENAVISTA S.A,GENERAL,"10,000",17,,,,"1,854","2,020",7
CARTAGENA,SOCIEDAD PORTUARIA DEL DIQUE S.A.,GRANEL LIQUIDO,,,,,,"11,309","2,019",1
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,GRANEL SOLIDO DIFER. DE CARBON,"9,943","55,184",,,,,"2,019",10
CARTAGENA,SOCIEDAD PORTUARIA BAVARIA S.A,GENERAL,"27,510",,,,,,"2,019",12
CARTAGENA,ZONA FRANCA ARGOS S.A.S.,GRANEL SOLIDO DIFER. DE CARBON,"87,328","32,500",,,,,"2,019",4
BARRANCABERMEJA,SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.,GENERAL,,,,,"1,443",,"2,019",8
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,GRANEL SOLIDO DIFER. DE CARBON,,"415,013",,,,,"2,019",9
BARRANCABERMEJA,SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.,GRANEL LIQUIDO,,,,,"55,005",,"2,018",3
BARRANQUILLA,SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.,GRANEL LIQUIDO,"2,498","6,500",,,,,"2,019",6
CARTAGENA,ZONA FRANCA ARGOS S.A.S.,GRANEL SOLIDO DIFER. DE CARBON,"105,449",,,,,,"2,020",12
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GENERAL,,"43,091",,,,,"2,018",2
CARTAGENA,ECOPETROL S.A.,GRANEL LIQUIDO,"351,906","64,619",,,,"99,720","2,019",10
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,GENERAL,93,741,259,,,,"2,019",12
BARRANQUILLA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,CARBON AL GRANEL,"47,951",,,,,,"2,020",6
Z.P. RIO MAGDALENA,PUERTO PIMSA S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"4,065",,,,,"2,019",1
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,CONTENEDORES,"26,572","17,807",518,,,63,"2,018",1
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,CONTENEDORES,615,"2,892",,,,"6,794","2,018",8
BUENAVENTURA,GRUPO PORTUARIO S.A,GRANEL SOLIDO DIFER. DE CARBON,,"67,716",,,,,"2,019",9
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,CARBON AL GRANEL,"41,714",,,,,,"2,019",7
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,CONTENEDORES,"3,037","22,719",81,,,"19,327","2,020",12
CARTAGENA,SOCIEDAD PORTUARIA DEL DIQUE S.A.,GRANEL LIQUIDO,,,,,,"16,740","2,018",4
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,CARBON AL GRANEL,"18,000",,,,,,"2,020",5
GUAJIRA,CERREJON ZONA NORTE S.A.,CARBON AL GRANEL,"2,815,729",,,,,,"2,018",4
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,CONTENEDORES,"23,329","61,919",40,156,,276,"2,020",4
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,CONTENEDORES,"155,612","168,197","104,306",,,,"2,020",12
CARTAGENA,ECOPETROL S.A.,GRANEL LIQUIDO,"462,755","91,138",,,,"30,634","2,018",12
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,GRANEL SOLIDO DIFER. DE CARBON,,"10,400",,,,,"2,018",5
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,GENERAL,,265,3,,,,"2,018",4
CARTAGENA,ALGRANEL S.A.,GRANEL LIQUIDO,"1,050","4,821",,,,,"2,020",4
Z.P. RIO MAGDALENA,PUERTO PIMSA S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"3,992",,,,"2,818","2,018",4
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,GENERAL,,,,,,"2,175","2,018",8
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,CONTENEDORES,,,,,,"2,372","2,020",6
TURBO,PROMOTORA BANANERA S.A,CONTENEDORES,"8,143",,,,,,"2,018",11
CARTAGENA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,CONTENEDORES,"16,773","24,335","5,877","18,417",,,"2,018",2
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,CONTENEDORES,"86,721","107,748","339,537",,,"22,384","2,020",12
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GRANEL LIQUIDO,,"35,445",,,,,"2,019",6
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,CONTENEDORES,"100,524","220,552","486,551",,,,"2,018",3
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,GENERAL,,"30,513",,,,,"2,019",9
BUENAVENTURA,GRUPO PORTUARIO S.A,GRANEL SOLIDO DIFER. DE CARBON,,"98,776",,,,,"2,020",11
BARRANQUILLA,SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.,GRANEL LIQUIDO,,"3,501",,,,,"2,019",2
GUAJIRA,CERREJON ZONA NORTE S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"6,516",,,,,"2,020",1
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,GRANEL SOLIDO DIFER. DE CARBON,"5,500","35,692",,,,,"2,018",10
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,CONTENEDORES,"56,697","101,791","295,499",,,,"2,018",7
BUENAVENTURA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"84,377",,,,,"2,018",3
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,CONTENEDORES,"30,914","23,107",18,,,"27,196","2,020",9
CARTAGENA,SOCIEDAD PORTUARIA TERMINAL DE IFOS S.A.,GRANEL LIQUIDO,"11,172",,,,,,"2,018",2
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,CONTENEDORES,33,,,,,,"2,020",6
TURBO,C.I. UNIÓN DE BANANEROS DE URABA - UNIBAN,CONTENEDORES,"37,644","12,513",,,,684,"2,019",4
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GRANEL LIQUIDO,,9,,,,12,"2,018",11
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,CARBON AL GRANEL,,"10,793",,,,,"2,019",4
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GRANEL SOLIDO DIFER. DE CARBON,,"265,820",,,,,"2,019",10
TURBO,PROMOTORA BANANERA S.A,CONTENEDORES,"11,414",,,,,,"2,019",2
GUAJIRA,CERREJON ZONA NORTE S.A.,GRANEL LIQUIDO,,"12,273",,,,,"2,019",2
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,GENERAL,,,,,,"2,115","2,020",5
CARTAGENA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GENERAL,"1,639","10,128",,100,,,"2,018",5
BARRANQUILLA,SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"6,577",,,,,"2,018",9
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,GENERAL,,,,,,"2,426","2,019",6
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,GENERAL,"7,795","7,300",392,,,,"2,020",9
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GRANEL LIQUIDO,"34,606","21,301",,,,,"2,019",3
BUENAVENTURA,GRUPO PORTUARIO S.A,GRANEL SOLIDO DIFER. DE CARBON,,"28,907",,,,,"2,019",6
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,CARBON AL GRANEL,"39,581",,,,,,"2,020",7
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,GENERAL,,"20,010",,,,,"2,019",1
BARRANQUILLA,SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.,GRANEL LIQUIDO,,"7,101",,,,,"2,019",8
CARTAGENA,ZONA FRANCA ARGOS S.A.S.,GRANEL SOLIDO DIFER. DE CARBON,"90,901","44,000",,,,,"2,020",9
CIENAGA,AMERICAN PORT COMPANY INC,CARBON AL GRANEL,"2,119,766",,,,,,"2,019",4
BARRANQUILLA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GRANEL LIQUIDO,,"9,869",,,,,"2,018",5
BARRANQUILLA,VOPAK COLOMBIA S.A.,GRANEL LIQUIDO,"4,166","6,109",,,,,"2,018",3
CARTAGENA,NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A,GRANEL LIQUIDO,,,,,,"4,856","2,018",11
BARRANQUILLA,SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.,GRANEL LIQUIDO,"4,100","8,628",,,,,"2,020",1
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,CARBON AL GRANEL,"18,359",,,,,,"2,018",2
BARRANQUILLA,SOCIEDAD PORTUARIA RIVERPORT S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"71,987",,,,,"2,018",11
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,CONTENEDORES,"37,496","21,093","1,579",,,135,"2,018",3
G. MORROSQUILLO,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"31,489",,,,,"2,019",12
BARRANQUILLA,PORTMAGDALENA S.A.,GRANEL LIQUIDO,"1,661","37,483",,,,"19,562","2,019",1
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,CONTENEDORES,,661,,,,,"2,018",8
TUMACO,CENIT TRANSPORTE Y LOGÍSTICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,"53,530",,,,,,"2,019",4
SANTA MARTA,CENIT TRANSPORTE Y LOGÍSTICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,,"289,428",,,,"126,251","2,020",7
CARTAGENA,SOCIEDAD PORTUARIA BAVARIA S.A,GRANEL SOLIDO DIFER. DE CARBON,,"28,000",,,,,"2,020",3
GUAJIRA,CERREJON ZONA NORTE S.A.,CARBON AL GRANEL,"1,994,500",,,,,,"2,019",9
CARTAGENA,SOCIEDAD PORTUARIA DEL DIQUE S.A.,GRANEL LIQUIDO,,637,,,,"6,498","2,018",12
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,CARBON AL GRANEL,"125,593",,,,,,"2,018",2
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,GENERAL,,,,,,"2,449","2,018",4
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,CARBON AL GRANEL,"73,151",,,,,,"2,020",2
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,GRANEL LIQUIDO,,"39,670",,,,,"2,019",1
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"159,782",,,,,"2,019",12
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,CONTENEDORES,"29,725","25,937","1,049",,,"34,709","2,019",11
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,GRANEL SOLIDO DIFER. DE CARBON,,"53,607",,,,,"2,018",8
TURBO,PORTUARIA PUNTA DE VACA S.A.,GRANEL LIQUIDO,,,,,,688,"2,019",9
TURBO,PORTUARIA PUNTA DE VACA S.A.,GRANEL LIQUIDO,,,,,,768,"2,018",8
BARRANQUILLA,VOPAK COLOMBIA S.A.,GRANEL LIQUIDO,"6,462","7,530",,,,,"2,019",9
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,GRANEL LIQUIDO,,"12,671",,,,,"2,018",2
TURBO,C.I. UNIÓN DE BANANEROS DE URABA - UNIBAN,GENERAL,"13,638",20,,,,,"2,018",10
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,GRANEL LIQUIDO,"181,671","78,726",,,,,"2,019",6
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,GRANEL LIQUIDO,,"6,544",,,,,"2,020",5
CARTAGENA,SOCIEDAD PORTUARIA DEL DIQUE S.A.,GRANEL LIQUIDO,,,,,,"34,221","2,020",9
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,CONTENEDORES,"117,762","261,408","682,088",,,,"2,018",1
BARRANQUILLA,SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"6,497",,,,,"2,020",12
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GENERAL,,"14,283",,,,,"2,020",8
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,GENERAL,322,"25,475",497,,,343,"2,019",5
